LOCATION,datetime_to_nearest_hour,hourly_tweets,norm
Barking; London,2015-01-01 19:00:00,114,1.0
Barnet; London,2015-01-01 19:00:00,214,1.0
Bexley; London,2015-01-01 21:00:00,107,1.0
Biggin Hill; London,2015-01-01 23:00:00,8,1.0
Brent; London,2015-01-01 00:00:00,154,1.0
Bromley; London,2015-01-01 18:00:00,167,1.0
Camberwell; London,2015-01-01 22:00:00,238,1.0
Camden Town; London,2015-01-01 00:00:00,173,1.0
City of London; London,2015-01-01 00:00:00,65,1.0
Crayford; London,2015-01-01 23:00:00,60,1.0
Croydon; London,2015-01-01 21:00:00,206,1.0
Downe; London,2014-12-31 10:00:00,1,1.0
Downe; London,2014-12-31 14:00:00,1,1.0
Downe; London,2014-12-31 15:00:00,1,1.0
Ealing; London,2015-01-01 00:00:00,131,1.0
East Ham; London,2015-01-01 20:00:00,98,1.0
Eltham; London,2015-01-01 16:00:00,94,1.0
Enfield; London,2015-01-01 18:00:00,241,1.0
Greenwich; London,2015-01-01 00:00:00,100,1.0
Hackney; London,2015-01-01 21:00:00,184,1.0
Hammersmith; London,2015-01-01 14:00:00,108,1.0
Harefield; London,2014-12-31 23:00:00,17,1.0
Harrow; London,2015-01-01 21:00:00,141,1.0
Hazlewood; London,2014-12-31 04:00:00,3,1.0
Hillingdon; London,2015-01-01 19:00:00,205,1.0
Hounslow; London,2015-01-01 00:00:00,91,1.0
Ilford; London,2015-01-01 18:00:00,143,1.0
Islington; London,2015-01-01 16:00:00,152,1.0
Kensington; London,2015-01-01 15:00:00,176,1.0
Keston; London,2015-01-01 21:00:00,6,1.0
Kingston upon Thames; London,2015-01-01 19:00:00,73,1.0
Lambeth; London,2015-01-01 00:00:00,329,1.0
Lewisham; London,2015-01-01 22:00:00,172,1.0
London; England,2015-01-01 00:00:00,471,1.0
Merton; London,2015-01-01 21:00:00,119,1.0
New Addington; London,2015-01-01 22:00:00,23,1.0
Paddington; London,2014-12-31 21:00:00,145,1.0
Poplar; London,2014-12-31 20:00:00,306,1.0
Pratts Bottom; London,2015-01-01 22:00:00,2,1.0
Richmond; London,2015-01-01 00:00:00,80,1.0
Romford; London,2015-01-01 18:00:00,160,1.0
Southall; London,2015-01-01 19:00:00,36,1.0
Stratford; London,2015-01-01 16:00:00,173,1.0
Sutton; London,2015-01-01 22:00:00,98,1.0
Tottenham; London,2015-01-01 19:00:00,338,1.0
Walthamstow; London,2015-01-01 00:00:00,200,1.0
Wandsworth; London,2015-01-01 21:00:00,242,1.0
Westerham; London,2014-12-31 21:00:00,1,1.0
